sentence_id,original_word,proposed_word,final_word,action,rule,timestamp
2847,binubuo,binubo,binubuo,REJECT,UO_TO_O,2026-02-16T02:20:30.249Z
2847,cofradia,kofradia,cofradia,REJECT,C_TO_K,2026-02-16T02:21:41.894Z
2847,archicofradia,archikofradia,archicofradia,REJECT,C_TO_K,2026-02-16T02:21:42.518Z
2858,conservador,konservador,konserbador,EDIT,C_TO_K,2026-02-16T02:21:52.501Z
2861,conservador,konservador,konserbador,EDIT,C_TO_K,2026-02-16T02:21:56.719Z
2861,conservador,konservador,konserbador,EDIT,C_TO_K,2026-02-16T02:22:01.118Z
2862,carabinero,karabinero,karabinero,APPROVE,C_TO_K,2026-02-16T02:22:04.282Z
2862,carlista,karlista,karlista,APPROVE,C_TO_K,2026-02-16T02:22:06.478Z
2862,Picote,Pikote,Picote,REJECT,C_TO_K,2026-02-16T02:22:09.402Z
2862,Tacon,Takon,Tacon,REJECT,C_TO_K,2026-02-16T02:22:11.559Z
2866,kasuotan,kasotan,kasuotan,REJECT,UO_TO_O,2026-02-16T02:22:12.962Z
2866,suotan,sotan,suotan,REJECT,UO_TO_O,2026-02-16T02:22:13.542Z
2949,kasuotan,kasotan,kasuotan,REJECT,UO_TO_O,2026-02-16T02:22:14.094Z
2950,kasuotan,kasotan,kasuotan,REJECT,UO_TO_O,2026-02-16T02:22:14.651Z
2959,copa,kopa,kopa,APPROVE,C_TO_K,2026-02-16T02:22:17.550Z
2989,Condesa,Kondesa,Kondesa,APPROVE,C_TO_K,2026-02-16T02:22:20.313Z
2989,consul,konsul,konsul,APPROVE,C_TO_K,2026-02-16T02:22:21.284Z
3012,nagsuot,nagsot,nagsuot,REJECT,UO_TO_O,2026-02-16T02:22:22.082Z
3012,americana,amerikana,amerikana,APPROVE,C_TO_K,2026-02-16T02:22:25.018Z
3047,Descartes,Deskartes,Descartes,REJECT,C_TO_K,2026-02-16T02:22:31.397Z
3051,quinto,kinto,quinto,REJECT,QU_TO_K,2026-02-16T02:22:33.924Z
3085,buong-buo,bong-bo,buong-buo,REJECT,UO_TO_O,2026-02-16T02:22:35.069Z
3107,palco,palko,palko,APPROVE,C_TO_K,2026-02-16T02:22:38.054Z
3124,Balcon,Balkon,Balcon,REJECT,C_TO_K,2026-02-16T02:22:42.212Z
3127,Parca,Parka,Parka,APPROVE,C_TO_K,2026-02-16T02:22:48.103Z
3208,Caton,Katon,Katon,APPROVE,C_TO_K,2026-02-16T02:22:56.658Z
3224,nangakasuot,nangakasot,nangakasuot,REJECT,UO_TO_O,2026-02-16T02:22:59.613Z
3231,Quoi,Qoi,Quoi,REJECT,UO_TO_O,2026-02-16T02:23:02.704Z
3231,cancans,kankans,cancans,REJECT,C_TO_K,2026-02-16T02:23:12.264Z
3232,cancan,kankan,kankan,APPROVE,C_TO_K,2026-02-16T02:23:14.954Z
3234,cancan,kankan,kankan,APPROVE,C_TO_K,2026-02-16T02:23:16.996Z
3245,qui,ki,qui,REJECT,QU_TO_K,2026-02-16T02:23:19.971Z
3248,collar,kollar,kolyar,EDIT,C_TO_K,2026-02-16T02:23:27.822Z
3262,comment,komment,comment,REJECT,C_TO_K,2026-02-16T02:23:31.281Z
3264,qui,ki,qui,REJECT,QU_TO_K,2026-02-16T02:23:32.236Z
3269,coulisses,koulisses,coulisses,REJECT,C_TO_K,2026-02-16T02:23:40.683Z
3307,cochers,kochers,cochers,REJECT,C_TO_K,2026-02-16T02:23:44.818Z
3307,domestiques,domestikes,domestiques,REJECT,QU_TO_K,2026-02-16T02:23:46.817Z
3309,domestiques,domestikes,domestiques,REJECT,QU_TO_K,2026-02-16T02:23:48.038Z
3309,domestico,domestiko,domestico,REJECT,C_TO_K,2026-02-16T02:23:49.177Z
3310,domestiques,domestikes,domestiques,REJECT,QU_TO_K,2026-02-16T02:23:50.313Z
3313,Domestiques,Domestikes,Domestiques,REJECT,QU_TO_K,2026-02-16T02:23:51.506Z
3313,domesticado,domestikado,domestikado,APPROVE,C_TO_K,2026-02-16T02:23:53.572Z
3320,nangakasuot,nangakasot,nangakasuot,REJECT,UO_TO_O,2026-02-16T02:23:55.032Z
3320,domestiques,domestikes,domestiques,REJECT,QU_TO_K,2026-02-16T02:23:59.419Z
3331,cochers,kochers,cochers,REJECT,C_TO_K,2026-02-16T02:24:24.499Z
3345,cochers,kochers,cochers,REJECT,C_TO_K,2026-02-16T02:24:29.461Z
3346,cochers,kochers,cochers,REJECT,C_TO_K,2026-02-16T02:24:30.369Z
3377,Casa,Kasa,Casa,REJECT,C_TO_K,2026-02-16T02:24:33.658Z
3388,Calderon,Kalderon,Kalderon,APPROVE,C_TO_K,2026-02-16T02:24:37.867Z
3390,nabuo,nabo,nabuo,REJECT,UO_TO_O,2026-02-16T02:24:40.484Z
3400,Custodining,Kustodining,Custodining,REJECT,C_TO_K,2026-02-16T02:24:47.468Z
3458,caida,kaida,caida,REJECT,C_TO_K,2026-02-16T02:24:50.944Z
3514,pinagduop,pinagdop,pinagduop,REJECT,UO_TO_O,2026-02-16T02:24:56.443Z
3574,muog,mog,muog,REJECT,UO_TO_O,2026-02-16T02:24:57.249Z
