novel,token,count,suggested_category,chapter_number,sentence_number,context_snippet
elfili,kaniyang,1164,B,1,1-3,"Ang bapor ay may anyong bagol, halos bilog na wari’y tabo na siyang pinanggalingan ng kaniyang panga..."
noli,aking,758,B,1,1-13,"Kung sa aking kaibigan lamang at sa aking sariling caguinhawahan, hindi cata papagalin sa pagsasaysa..."
noli,siya'y,516,B,1,1-48,"Datapwat si Fray Damaso'y hindi mahiwagang gaya nila; siya'y masaya, at kung pabug-al bug-al ang kan..."
elfili,walang,512,B,1,1-15,"Siya nga naman, kung walang mga indio sa ilog at sa bayan ay bubuti ang lakad ng Tabo, oo!..."
noli,walang,464,B,1,1-3,"Cawangis ng kislap ng lintic ang cadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga la..."
noli,siyang,456,B,1,1-1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ..."
elfili,pag,411,B,1,1-8,Sa bawa’t sandali’y tumitili ang pasuit na paos at mapagbala na wari’y isang manggagahis na ibig mak...
elfili,nang,411,B,1,1-8,Sa bawa’t sandali’y tumitili ang pasuit na paos at mapagbala na wari’y isang manggagahis na ibig mak...
noli,naman,365,B,1,1-4,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit s..."
noli,pagka't,343,B,1,1-6,"Hindi kami naniniwalang ipinaguiba ang bahay na iyon ng may-ari, sa pagka't sa ganitong gawa'y ang n..."
noli,bagay,336,B,1,1-6,"Hindi kami naniniwalang ipinaguiba ang bahay na iyon ng may-ari, sa pagka't sa ganitong gawa'y ang n..."
noli,di,330,B,1,1-16,"Namumucod ng di ano lamang sa mga ganitong handang sa mundo'y nauucol, ang sumasapader na mga cuadro..."
noli,nga,322,B,1,1-13,"Kung sa aking kaibigan lamang at sa aking sariling caguinhawahan, hindi cata papagalin sa pagsasaysa..."
noli,pag,313,B,1,1-3,"Cawangis ng kislap ng lintic ang cadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga la..."
noli,lalong,312,B,1,1-1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ..."
elfili,P,311,B,1,1-17,Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kal...
noli,buong,296,B,1,1-3,"Cawangis ng kislap ng lintic ang cadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga la..."
elfili,siyang,287,B,1,1-3,"Ang bapor ay may anyong bagol, halos bilog na wari’y tabo na siyang pinanggalingan ng kaniyang panga..."
noli,sinabi,283,B,1,1-67,"Ngunit hindi ko mapagcuro kung ano ang cabagayan ng inyong mga sinabi sa pagkakaalis ng ""estanco ng ..."
elfili,bagay,277,B,1,1-4,"Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhi marahil sa pangalan niyang tagalog o dahil sa ..."
noli,anak,275,B,1,1-42,"Siya'y balitang ""dialectico"", kaya nga't ng mga panahong iyong nangangahas pa ang mga anak ni Guzman..."
noli,ka,257,B,2,2-19,—¡Hindi ka nagcamali!...
noli,niyang,255,B,1,1-1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ..."
noli,taong,254,B,1,1-8,Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng calacal at taong nagpap...
noli,kong,244,B,1,1-80,¡Sinasampalatayanan kong gaya ng pagsampalataya sa Evangelio!...
noli,iba,229,B,1,1-4,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit s..."
noli,dalawang,226,B,1,1-15,"Sa gitna'y may isang mahabang mesa, na nahihiyasan ng marami at mahahalagang pamuti, na tila mandin ..."
noli,totoong,225,B,1,1-9,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napa..."
elfili,gayon,222,B,1,1-52,—Datapwa’y hindi ibig sabihin ng ganito na kayo’y wala sa katwiran at gayon din naman si P. Camorra ...
noli,ibig,214,B,1,1-12,"sacali't naaakit ikaw ng tugtog ng orquesta, ng ilaw o ng macahulugang ""clin-clan"" ng mga pingga't c..."
noli,magaling,212,B,1,1-9,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napa..."
noli,iyong,206,B,1,1-19,Sa panonood ng mga calagayang iyong umaakit sa pagkakagana sa pagkain at naguudyoc ng ucol sa paglas...
noli,pagka,204,B,1,1-41,"—Ang isa sa mga fraile'y isang dominicong bata pa, maganda, malinis at maningning, na tulad sa kanya..."
noli,ninyong,203,B,1,1-54,"Acalain ninyong mula ng ako'y dumating sa lupaing ito'y ako'y iniucol na sa isang bayang maliit nga,..."
noli,ilang,202,B,1,1-19,Sa panonood ng mga calagayang iyong umaakit sa pagkakagana sa pagkain at naguudyoc ng ucol sa paglas...
elfili,sapagka’t,198,B,1,1-17,Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kal...
noli,Dios,197,B,1,1-3,"Cawangis ng kislap ng lintic ang cadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga la..."
elfili,niyang,197,B,1,1-4,"Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhi marahil sa pangalan niyang tagalog o dahil sa ..."
noli,cura,194,B,1,1-41,"—Ang isa sa mga fraile'y isang dominicong bata pa, maganda, malinis at maningning, na tulad sa kanya..."
noli,ibang,192,B,1,1-1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ..."
noli,kanya'y,192,B,1,1-47,"Ang mukha niyang maganda ang tabas, ang kanyang mga pagtinging nacalalaguim, ang kanyang malalapad n..."
elfili,naman,191,B,1,1-15,"Siya nga naman, kung walang mga indio sa ilog at sa bayan ay bubuti ang lakad ng Tabo, oo!..."
elfili,waring,187,B,1,1-3,"Ang bapor ay may anyong bagol, halos bilog na wari’y tabo na siyang pinanggalingan ng kaniyang panga..."
noli,huwag,184,B,1,1-19,Sa panonood ng mga calagayang iyong umaakit sa pagkakagana sa pagkain at naguudyoc ng ucol sa paglas...
elfili,ibig,183,B,1,1-4,"Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhi marahil sa pangalan niyang tagalog o dahil sa ..."
elfili,aking,181,B,1,1-72,"—Patawarin ako ni G. Simoun, na aking kagalanggalang na kaibigan, kung sabihin kong hindi niya ako k..."
noli,gayon,178,B,1,1-1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ..."
noli,Clara,177,C,3,3-101,—Darating na si Maria Clara: sinundo siya ni Isabel....
noli,mang,177,B,1,1-2,"Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas n..."
elfili,aaral,177,B,2,2-5,"Ang ilang binata lamang, na ang karamihan ay nangag-aaral, madaling makilala dahil sa kanilang kagay..."
noli,gayong,175,B,1,1-8,Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng calacal at taong nagpap...
noli,ma'y,172,B,1,1-1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ..."
noli,alferez,172,B,11,11-17,Ang pinaca-papa sa Vaticano'y ang cura; ang pinaca hari sa Italiang na sa Quirinal ay ang alferez ng...
noli,kaya,170,B,1,1-4,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit s..."
noli,ako'y,170,B,1,1-23,¡masdan ninyo kung gaano carami ang suot ko at ako'y hindi tumatawa!...
noli,matandang,168,B,1,1-16,"Namumucod ng di ano lamang sa mga ganitong handang sa mundo'y nauucol, ang sumasapader na mga cuadro..."
elfili,lalong,164,B,1,1-11,"Ang kapitan ay isang ginoo na may magiliw na anyo, lubha ng matanda, dating maglalayag na noong kaba..."
noli,sila'y,163,B,1,1-4,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit s..."
elfili,wari’y,162,B,1,1-3,"Ang bapor ay may anyong bagol, halos bilog na wari’y tabo na siyang pinanggalingan ng kaniyang panga..."
elfili,nasa,159,B,1,1-3,"Ang bapor ay may anyong bagol, halos bilog na wari’y tabo na siyang pinanggalingan ng kaniyang panga..."
noli,akong,157,B,1,1-55,"Hindi ko pa nauunawang magaling ang wikang tagalog, gayon ma'y kinucumpisal ko na ang mga babae at n..."
noli,marahil,156,B,1,1-19,Sa panonood ng mga calagayang iyong umaakit sa pagkakagana sa pagkain at naguudyoc ng ucol sa paglas...
elfili,General,154,B,1,1-17,Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kal...
elfili,taong,152,B,1,1-34,"Makaraan ang ilang taong pagkakasal, ang kaniyang asawang nagtiis, na wari’y fakir na umalinsunod sa..."
elfili,dalawang,152,B,1,1-36,"Ngunit ang asawa, sindak sa nagawang kasalanan, na sa kaniya’y waring isang kakilakilabot na pagpata..."
elfili,pang,151,B,1,1-8,Sa bawa’t sandali’y tumitili ang pasuit na paos at mapagbala na wari’y isang manggagahis na ibig mak...
elfili,ilang,151,B,1,1-8,Sa bawa’t sandali’y tumitili ang pasuit na paos at mapagbala na wari’y isang manggagahis na ibig mak...
noli,isip,148,B,1,1-2,"Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas n..."
elfili,dahilang,147,B,1,1-17,Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kal...
noli,baga,146,B,1,1-1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ..."
noli,ito'y,145,B,1,1-9,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napa..."
noli,malaking,144,B,3,3-39,"Dinala sa mesa ang isang umaasong malaking ""fuente""...."
noli,saka,143,B,1,1-104,Ang tinola ay ang pinaghalong inahing manoc at saka upo....
noli,sinasabi,142,B,1,1-9,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napa..."
noli,hanggang,141,B,1,1-1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ..."
noli,ama,139,B,1,1-64,"May anim na libo ang dami ng taong namamayan sa San Diego, at bawa't tagaroo'y nakikilala ko, na par..."
elfili,siya’y,137,B,1,1-4,"Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhi marahil sa pangalan niyang tagalog o dahil sa ..."
elfili,huwag,135,B,1,1-106,At kayo P. Sibyla ay huwag bumanggit ng mga wikang latin at ng mga katunggakan....
elfili,nga,134,B,1,1-15,"Siya nga naman, kung walang mga indio sa ilog at sa bayan ay bubuti ang lakad ng Tabo, oo!..."
noli,Tiago,132,B,1,1-1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ..."
noli,dapat,130,B,1,1-167,"Sa mga pananalita ng tao, ay dapat gawin ang isa pa manding pagbabahagui: ang mga sinasabing ""ab ira..."
noli,asawa,129,B,1,1-191,"Sila'y sinalubong ng bating catoto ng naroroong pulutong, at nangagsiupo sa tabi ng ating mga cakila..."
noli,ayon,129,B,3,3-21,"Ang lalong mataas na oficial sa Filipinas, ayon sa caisipan ng mga fraile, ay totoong malaki ang cab..."
elfili,di,129,B,1,1-81,"Salamat na lamang at ang nangaroroon ay pawang taga bukid, at ang dalawang timonel ay waring walang ..."
noli,ginoong,128,B,1,1-30,Ang tanging sumasalubong sa pagdating ng mga ginoong babae ay isang babaeng matandang pinsan ni kapi...
elfili,gayong,125,B,1,1-22,Kung susukatin sa gayong anyo ang daong ng Pamahalaan ay masasabing nawawala ang pagkapagong at nagi...
noli,maraming,124,B,1,1-6,"Hindi kami naniniwalang ipinaguiba ang bahay na iyon ng may-ari, sa pagka't sa ganitong gawa'y ang n..."
noli,pagkatapos,124,B,1,1-72,—ang sinabi pagkatapos ng buong pagtataca....
elfili,yaon,123,B,1,1-12,"At yaon din ang balakid sa araw araw, ang dati ring mabababaw na burak, ang dati ring laki ng bapor ..."
noli,kahoy,121,B,1,1-8,Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng calacal at taong nagpap...
noli,pang,118,B,1,1-4,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit s..."
elfili,anak,118,B,2,2-114,"Walang nangyari sa tutol ng binatang si Florentino, hindi nagkabisa ang samo, walang nahita sa pagsa..."
noli,kayong,114,B,1,1-53,"Howag kayong tumutol sa akin ng alinsunod sa mga karunungan at sa mabubuting pananalita, nakikilala ..."
elfili,Nang,113,B,1,1-17,Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kal...
elfili,kong,110,B,1,1-72,"—Patawarin ako ni G. Simoun, na aking kagalanggalang na kaibigan, kung sabihin kong hindi niya ako k..."
elfili,dapat,109,B,1,1-17,Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kal...
noli,panahon,107,B,1,1-8,Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng calacal at taong nagpap...
noli,ginagawa,107,B,1,1-37,"Umaaticabong nangagsasalitaan ang ilang mga cadete; ngunit mahihina ang voces, sa isa sa mga suloc a..."
noli,binata,105,B,1,1-69,Sandaling tinitigan ang binata at:...
elfili,maraming,105,B,1,1-2,Isang umaga ng Disiembre ay hirap na sumasalunga sa palikolikong linalakaran ng ilog Pasig ang bapor...
noli,de,104,B,1,1-1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ..."
noli,ginawa,104,B,1,1-120,"Sa ganang akin lamang naman, dinaramdam kong iwan ang Camiling, gayong iilang buwan akong natira roo..."
noli,anyo,103,B,1,1-5,"Ginawa ang anyaya sa paghapong ito sa isang bahay sa daang Anloague, at yamang hindi namin natatanda..."
noli,nakita,103,B,2,2-22,"Untiunting iniurong ni Ibarra ang kanyang kamay na iniacmang humawac sa kamay ni pari Damaso, at tin..."
elfili,ibang,103,B,1,1-86,"Makaraan yaon ay dumadating ang ibang lalawigan, pagkatapos ay iba naman, sunod sunod sa paggawa sa ..."
noli,lubhang,99,B,1,1-8,Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng calacal at taong nagpap...
elfili,kastila,98,B,2,2-21,—Ngunit balikan natin ang tungkol sa Akademia ng wikang kastila—ang patuloy ni kapitang Basilio—pina...
noli,namang,97,B,1,1-19,Sa panonood ng mga calagayang iyong umaakit sa pagkakagana sa pagkain at naguudyoc ng ucol sa paglas...
elfili,marahil,96,B,1,1-4,"Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhi marahil sa pangalan niyang tagalog o dahil sa ..."
elfili,iba,96,B,1,1-8,Sa bawa’t sandali’y tumitili ang pasuit na paos at mapagbala na wari’y isang manggagahis na ibig mak...
noli,taglay,95,B,1,1-15,"Sa gitna'y may isang mahabang mesa, na nahihiyasan ng marami at mahahalagang pamuti, na tila mandin ..."
noli,Salvi,95,B,11,11-20,Si Fr. Bernardo Salvi ay yaong bata at hindi makibuing franciscanong sinaysay na namin sa unahan nit...
noli,sakit,94,B,1,1-18,"Tunay mang ang pagkakapinta'y hindi nagpapakilala ng ""arte"" at cabutihang lumikha, datapwat nagsasay..."
noli,gitna,94,B,1,1-20,"Nasasalas ang mangagsisicain, sa gitna ng lubhang malalaking mga salamin at na ngagniningning na mga..."
noli,muling,94,B,1,1-35,At hindi na muling sumipot....
elfili,buong,93,B,1,1-4,"Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhi marahil sa pangalan niyang tagalog o dahil sa ..."
noli,doña,91,B,25,25-62,"Masama raw babae si doña Consolacion, at walang nacacaalam kung caninong kamay siya nanggaling!..."
noli,halos,91,B,1,1-8,Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng calacal at taong nagpap...
noli,mukha,91,B,1,1-18,"Tunay mang ang pagkakapinta'y hindi nagpapakilala ng ""arte"" at cabutihang lumikha, datapwat nagsasay..."
elfili,Custodio,90,B,1,1-17,Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kal...
noli,samantalang,89,B,3,3-41,"Ngunit ayawan kung sa isang pagkalibang o iba cayang bagay, tumama kay pari Damaso ang isang pinggan..."
noli,voces,88,B,1,1-37,"Umaaticabong nangagsasalitaan ang ilang mga cadete; ngunit mahihina ang voces, sa isa sa mga suloc a..."
elfili,samantalang,88,B,1,1-10,"Sa ilalim ng cubierta ay nangagdungaw ang mga mukhang kayumanggi at maiitim ng mga taga rito, mga in..."
elfili,binata,88,B,1,1-79,"—Kung hindi sasapat, ang lahat ng bayan, ang mga matatanda, ang mga binata, ang mga bata, ay gumawa,..."
noli,nalalaman,87,B,1,1-64,"May anim na libo ang dami ng taong namamayan sa San Diego, at bawa't tagaroo'y nakikilala ko, na par..."
noli,sabihin,87,B,1,1-133,"—¿Ano po ba, ang ibig sabihin ng ""cagalanggalang"" ninyo (Vuestra Reverencia)?..."
elfili,lubhang,86,B,1,1-42,sa gitna ng kasiyahang loob ng mga nakikinig at sa gitna rin naman ng buong pagkainip ng isang matan...
noli,kastila,84,B,1,1-30,Ang tanging sumasalubong sa pagdating ng mga ginoong babae ay isang babaeng matandang pinsan ni kapi...
elfili,kasama,83,B,1,1-10,"Sa ilalim ng cubierta ay nangagdungaw ang mga mukhang kayumanggi at maiitim ng mga taga rito, mga in..."
noli,anyong,79,B,1,1-16,"Namumucod ng di ano lamang sa mga ganitong handang sa mundo'y nauucol, ang sumasapader na mga cuadro..."
noli,unang,79,B,2,2-4,"—ang unang sinabi ni Kapitang Tiago, at kanyang hinagcan ang mga kamay ng mga sacerdote, na pawang n..."
elfili,ka,79,B,2,2-45,"Hintay ka nga pala, ¿ano ang sabi-sabi ng amain mo kay Paulita?..."
noli,tatlong,78,B,1,1-47,"Ang mukha niyang maganda ang tabas, ang kanyang mga pagtinging nacalalaguim, ang kanyang malalapad n..."
noli,taga,78,B,1,1-84,"¡Tunay nga cayang catutubo ng mga dalisay na tagarito ang pagka ""indolente,"" o nangyayari ang sinasa..."
noli,Alcalde,77,B,6,6-57,"Nagpapagawa ng mga tulang pangpuri sa mga taong sinabi na, ng mga himnong ipinagdiriwang ang ""mabait..."
elfili,taga,77,B,1,1-10,"Sa ilalim ng cubierta ay nangagdungaw ang mga mukhang kayumanggi at maiitim ng mga taga rito, mga in..."
elfili,ninyong,77,B,1,1-141,"“Pag walang panganib ay ibig ninyong ako’y magsalita, ha?..."
elfili,Placido,76,B,12,12-1,Masama ang loob at halos ang mga mata’y lumuluha ng lumalakad sa Escolta si Placido Penitente upang ...
elfili,pagkatapos,76,B,1,1-85,Booboong lalawigan ay nanggagaling sa mga kaparangan na daladala ang kanilang mga sibuyas upang may ...
elfili,wikang,76,B,1,1-106,At kayo P. Sibyla ay huwag bumanggit ng mga wikang latin at ng mga katunggakan....
elfili,gitna,74,B,1,1-12,"At yaon din ang balakid sa araw araw, ang dati ring mabababaw na burak, ang dati ring laki ng bapor ..."
elfili,iisip,73,B,1,1-11,"Ang kapitan ay isang ginoo na may magiliw na anyo, lubha ng matanda, dating maglalayag na noong kaba..."
elfili,kayong,73,B,1,1-107,¿Sa ano’t naririto kayong mga prayle kung maaaring maghimagsik ang mga bayan?...
elfili,lalo,72,B,1,1-17,Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kal...
elfili,Dios,72,B,2,2-113,"Ang Ina’y may matibay na pakikipagkilala sa Arsobispo, may matigas na loob at walang pagbabago sa an..."
elfili,malaking,71,B,1,1-11,"Ang kapitan ay isang ginoo na may magiliw na anyo, lubha ng matanda, dating maglalayag na noong kaba..."
noli,lalo,70,B,1,1-20,"Nasasalas ang mangagsisicain, sa gitna ng lubhang malalaking mga salamin at na ngagniningning na mga..."
noli,General,69,B,1,1-146,"—¡Pari, ang kanyang Carilagan (ang marilag bagang Gobernador General) ay Vice-Real Patrono,—ang siga..."
noli,Nang,69,B,1,1-203,—¿Nang mga insic?...
noli,iisip,68,B,1,1-4,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit s..."
elfili,mang,67,B,1,1-16,"kung walang isa mang indio, sa mundo; hindi niya napupunang ang mga tumitimon ay pawang indio, indio..."
elfili,nakita,67,B,1,1-36,"Ngunit ang asawa, sindak sa nagawang kasalanan, na sa kaniya’y waring isang kakilakilabot na pagpata..."
noli,wikang,65,B,1,1-55,"Hindi ko pa nauunawang magaling ang wikang tagalog, gayon ma'y kinucumpisal ko na ang mga babae at n..."
elfili,taglay,65,B,1,1-4,"Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhi marahil sa pangalan niyang tagalog o dahil sa ..."
elfili,sakit,65,B,1,1-35,"Dahil sa pagkakabigla ni aling Joba, sa gayong pagbabagong ugali, ay hindi naalumana ang magiging ka..."
noli,Victorina,64,B,1,1-191,"Sila'y sinalubong ng bating catoto ng naroroong pulutong, at nangagsiupo sa tabi ng ating mga cakila..."
noli,convento,64,B,9,9-17,"Wala sa kanyang convento ang pantas na dominico; maagang maaga, pagkapagmisa, siya'y napatungo sa co..."
elfili,tatlong,64,B,1,1-17,Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kal...
elfili,sabihin,64,B,1,1-26,"Naugali na ang ganito ng Kapitan upang sabihin wari sa kaniyang mga salita, na dahandahang lumabas: ..."
elfili,namang,63,B,1,1-17,Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kal...
elfili,de,63,B,1,1-32,Nang tumanda na ang aling Victorinang ito ay nag-asawa sa isang kulang-palad na ang pangalan ay D. T...
elfili,unang,63,B,1,1-36,"Ngunit ang asawa, sindak sa nagawang kasalanan, na sa kaniya’y waring isang kakilakilabot na pagpata..."
elfili,Camorra,62,B,1,1-52,—Datapwa’y hindi ibig sabihin ng ganito na kayo’y wala sa katwiran at gayon din naman si P. Camorra ...
noli,Crisostomo,61,B,2,2-6,"—¡May capurihan akong ipakilala po sa inyo si Don Crisostomo Ibarra, na anak ng nasira kong kaibigan..."
elfili,España,61,B,3,3-99,"—Ang masasabi ko sa inyo,—ang sagot ng Kapitan na nagkaroon na ng giliw sa mga pook na iyon;—huwag n..."
noli,acala,60,B,3,3-111,¡Ang acala nila'y mga taong may cahulugan na!...
elfili,hanggang,60,B,4,4-119,Hindi niya maipagbili hanggang hindi maalaman ng nagbigay....
noli,kasama,59,B,2,2-1,"Hindi magaganda at mabubuting bihis na mga dalaga upang pansinin ng lahat, sampo ni Fr. Sibyla; hind..."
elfili,sinasabi,59,B,1,1-41,"Kapwa nagsisigawang ang anyo ng mukha ay iniaayos sa sinasabi, itinataas ang mga bisig, inilalahad a..."
elfili,akong,59,B,2,2-73,"—Huwag po kayong magalit, binata,—ang sabi:—wala akong masamang tangka, ngunit sa dahilang pinatibay..."
noli,insic,58,B,1,1-7,"—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pam..."
noli,maguing,58,B,2,2-1,"Hindi magaganda at mabubuting bihis na mga dalaga upang pansinin ng lahat, sampo ni Fr. Sibyla; hind..."
elfili,anyo,58,B,1,1-11,"Ang kapitan ay isang ginoo na may magiliw na anyo, lubha ng matanda, dating maglalayag na noong kaba..."
elfili,sinabi,58,B,1,1-100,—¿Hindi baga sinabi ninyo sa aking ang dalawang bahay na iyon ay naitayo sa tulong ng pagpilit sa mg...
elfili,anyong,57,B,1,1-3,"Ang bapor ay may anyong bagol, halos bilog na wari’y tabo na siyang pinanggalingan ng kaniyang panga..."
noli,cang,56,B,1,1-48,"Datapwat si Fray Damaso'y hindi mahiwagang gaya nila; siya'y masaya, at kung pabug-al bug-al ang kan..."
noli,culay,55,B,1,1-10,"Isang malapad na hagdanang ma'y cacapitang culay verde, at nalalatagan ng alfombra sa mumunting pani..."
noli,caunti,55,A,1,1-36,Tungkol sa mga lalaki'y nangagcacainga'y ng caunti....
elfili,mukha,55,B,1,1-40,"Si Ben-Zayb, ang manunulat na mukhang prayle, ay nakikipagtalo sa isang paring bata na mukha namang ..."
noli,catungculan,54,B,1,1-64,"May anim na libo ang dami ng taong namamayan sa San Diego, at bawa't tagaroo'y nakikilala ko, na par..."
noli,nang,54,B,1,1-1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ..."
noli,Huwag,54,B,8,8-34,"Ang taong yao'y isang matandang sacerdote, ang mga pangungusap na sa kanya'y sinabi ng siya'y pagpaa..."
noli,catuwiran,53,B,1,1-75,"Ngayo'y ang may pulang buhok naman ang natigagal, lalong ikinunot ng teniente ang kanyang mga kilay,..."
noli,manoc,53,B,1,1-104,Ang tinola ay ang pinaghalong inahing manoc at saka upo....
noli,civil,53,B,12,12-54,"kung di ko lamang ikaw nakikilala at natatalastas kung ikaw ay ""lalaki"", sasabihin kung ikaw ay tuna..."
elfili,Salvi,53,B,1,1-48,"—ang wika ng paring artillero na kasabay ang suntok sa gabay ng kaniyang luklukang kawayan;—iyan, an..."
noli,España,52,B,3,3-61,"—Na ... na ... nakilala ko sa España ang isang polacong taga, Va ......"
noli,bucas,51,B,1,1-48,"Datapwat si Fray Damaso'y hindi mahiwagang gaya nila; siya'y masaya, at kung pabug-al bug-al ang kan..."
noli,malacas,51,B,1,1-122,"Di caguinsaguinsa'y pinacabigyanbigyan ng suntoc ang palungan ng kamay ng kanyang sillon, huminga ng..."
noli,kinacailangang,51,B,14,14-113,"Matutubos ng mga buhay ang mga calolowang namatay sa casalanan, sa pagsasalita ng mga nasasaysay sa ..."
noli,Gayon,51,B,4,4-100,"""Gayon nga ang aking ginawa, at ang balitang abogado ang nangasiwa sa ""causa"" na ipinagsanggalang ng..."
elfili,baga,51,B,1,1-45,"—¿Alam baga ninyo kung ano ang mga taong marurunong, Ben-Zayb?..."
noli,casalanan,50,B,1,1-170,"—ang isinalabat ng militar, na nakikita niyang siya'y nabibilot ng gayong caraming mga pag tatangita..."
elfili,kaya,50,B,2,2-57,"—Ito ang sanhi,—ang patuloy ni Isagani—kung kaya ang aking amain, taong matalino, ay ayaw pumasok sa..."
elfili,panahon,50,B,2,2-109,"Isang munting pagsisiyasat sa kaniyang anyo, kundi man dahil sa kaniyang buhok na puti, ay mapag-uun..."
elfili,Tiago,48,B,2,2-12,"—Opo, mabutibuti na si kapitang Tiago,—ang sabi ng nag-aaral na iginagalaw ang ulo—ayaw pumayag sa a..."
elfili,ginawa,48,B,4,4-18,"Nakaraan ang isa pang taon at dumating ang isa pang mabuting ani, at dahil sa paganito o pagayong sa..."
noli,capuwa,47,B,3,3-9,"Baga man hindi sinasadya'y capuwa tumungo ang dalawang fraile sa duyo o ulunan ng mesa, marahil sa p..."
noli,Crispin,47,B,15,15-9,"—¡Batakin mo ang iyong lubid, Crispin!..."
noli,bangca,47,B,19,19-2,"Sa mga unang sinag ng liwanag na pumupucaw sa tubig nang mga nagkintabkintab na mga lamang-dagat, na..."
elfili,asawa,47,B,1,1-32,Nang tumanda na ang aling Victorinang ito ay nag-asawa sa isang kulang-palad na ang pangalan ay D. T...
noli,sacali't,46,B,1,1-5,"Ginawa ang anyaya sa paghapong ito sa isang bahay sa daang Anloague, at yamang hindi namin natatanda..."
noli,magcaroon,46,B,1,1-112,¡Ganyang caraming mga libro ... sucat na ang magcaroon ng dalawang daling noo.......
