novel,token,count,suggested_category,chapter_number,sentence_number,context_snippet
noli,guinagad,2,B,30,30-32,Ang acala ng ating matandang babaeng nagngungunguya ng mga dasal at pinatatacbo sa kanyang mga dalir...
noli,nacadamit,2,B,30,30-49,"Sa pagmamasid ng pagtanggap niya ng aso ng incienso, masasabing totoo nga ang sabi ni Galeno, na nan..."
noli,caloobang,2,B,30,30-52,"Nangagsiupo sa kanilang mga sillon ang tatlong sacerdote, na ang anyo'y nacapag-bibigay uliran sa ca..."
noli,pagtahimic,2,B,31,31-12,"Gumawa rito ng dakilang paghinto, at maling inilacad niya ang kanyang paningin sa mga nakikinig, at ..."
noli,cabilisan,2,B,31,31-15,at o ng paghinto dakilang iniunat niya ang kanyang canang kamay sa dakong altar at tumitig sa Alcald...
noli,bubucal,2,B,31,31-16,"""¡Nagniningning at cumikislap ang altar, malapad ang malaking pinto, ang hangin ang sasacyan ng sant..."
noli,calibugan,2,B,31,31-17,"Kayong mga malalaking macasalanan, mga bihag ng mga moro ng calolowa, na siyang lumalaganap sa mga d..."
noli,Pinapagcunot,2,B,31,31-18,"—(Pinapagcunot ng alferez ang noo)—""Siya nga, ginoong alferez, higuit ang kanyang tapang at lakas, n..."
noli,pagkatuclas,2,B,31,31-22,"Si San Diego at si San Francisco ang gaganap ng bagay na iyon, at sila nga ang tunay na macagagawa, ..."
noli,nacalimutan,2,B,31,31-48,"""Dapat nating masaulong lahat ang mga Santong Casulatan, ang buhay ng mga santo, at sa ganito'y hind..."
noli,licaw,2,B,31,31-51,"(Aba ano ba naman ang pari Damasong iyan)—ang ibinulong ng insic na si Carlos, na iniirapan ang nags..."
noli,cabulucan,2,B,31,31-70,Dati ko nang nalalaman; wala ngang macagagawa ng gayon kung di ang isang santong gaya ni Diego de Al...
noli,condenada,2,B,31,31-104,"—Hindi pa, ngunit huwag cang matulog ¡""condenada""!..."
noli,macatwid,2,A,31,31-106,"Babahagya lamang ang naitanda namin sa pangalawang bahagui ng sermon, sa macatwid baga'y ang sa wika..."
noli,mesticillo,2,B,31,31-117,"Tinucoy ng kanyang pananalita ang mga macasalanang, hindi nagsisipangumpisal, na nangamamatay sa bil..."
noli,silacbo,2,B,31,31-121,Samantala'y nararagdagan ng nararagdagan ang silacbo ng alab ng loob ng nagsesermon....
noli,nacacasalubong,2,A,31,31-122,"Sinasabi niyang ng mga unang panahon daw, ang lahat ng filipino, kung nacacasalubong ang isang sacer..."
